ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4005,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8046,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
8144,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"CONFIG_LOADED"
8233,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
8733,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
9233,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
9733,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
10233,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
10733,DATA,42.7,2.1, 0, 0, 0,1000,1000,0,0,0,""
11233,DATA,42.7,2.1, 0, 0, 0,1000,1000,0,0,0,""
11733,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
12233,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
12733,DATA,42.5,-2.1, 0, 0, 0,1000,1000,0,0,0,""
13233,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
13606,EVENT,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,"STARTER 1200"
13767,DATA,42.7,0.0, 0, 0, 0,1000,1039,0,0,0,""
14287,DATA,41.7,0.0, 0, 0, 0,1000,1154,0,0,0,""
14787,DATA,42.2,-2.1,422,487, 0,1000,1200,0,0,0,""
15287,DATA,42.2,0.0,241,395, 0,1000,1200,0,0,0,""
15787,DATA,42.5,0.0,173,299, 0,1000,1200,0,0,0,""
16287,DATA,42.2,-2.1,148,231, 0,1000,1200,0,0,0,""
16643,EVENT,42.2,0.0,139,195, 0,1000,1200,0,0,0,"STARTER OFF"
16787,DATA,42.2,0.0,138,188, 0,1000,1166,0,0,0,""
17307,DATA,41.7,-4.2,146,170, 0,1000,1049,0,0,0,""
17807,DATA,42.5,-2.1, 0, 0,601,1000,1000,0,0,0,""
18307,DATA,42.7,0.0, 0, 0,64798,1000,1000,0,0,0,""
18807,DATA,42.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
19307,DATA,42.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
19807,DATA,42.5,-2.1, 0, 0,176386,1000,1000,0,0,0,""
20307,DATA,42.5,-2.1, 0, 0, 0,1000,1000,0,0,0,""
20807,DATA,42.7,2.1, 0, 0, 0,1000,1000,0,0,0,""
21307,DATA,42.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
21807,DATA,42.5,0.0, 0, 0,600,1000,1000,0,0,0,""
22307,DATA,42.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
22807,DATA,42.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
23307,DATA,42.5,0.0, 0, 0,4200,1000,1000,0,0,0,""
23807,DATA,42.5,0.0, 0, 0,9000,1000,1000,0,0,0,""
24307,DATA,42.5,0.0, 0, 0,15601,1000,1000,0,0,0,""
24807,DATA,42.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
25307,DATA,42.5,-2.1, 0, 0,33599,1000,1000,0,0,0,""
