RX <- WEB_DATA|EGT=47.5C | dEGT=2.1 | PEGT=53.7 | RPM=1950 | FRPM=2320 | RRPM=141607 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=1 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=47.7C | dEGT=0.0 | PEGT=47.7 | RPM=1012 | FRPM=1674 | RRPM=60000 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=1 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=48.7C | dEGT=2.1 | PEGT=55.0 | RPM=541 | FRPM=1147 | RRPM=148806 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=1 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=49.0C | dEGT=2.1 | PEGT=55.2 | RPM=1572 | FRPM=1174 | RRPM=113416 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=49.5C | dEGT=2.1 | PEGT=55.7 | RPM=2629 | FRPM=1812 | RRPM=127197 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=49.7C | dEGT=2.1 | PEGT=56.0 | RPM=1735 | FRPM=1918 | RRPM=94808 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=50.0C | dEGT=2.1 | PEGT=56.2 | RPM=1109 | FRPM=1520 | RRPM=82797 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=50.2C | dEGT=0.0 | PEGT=50.2 | RPM=1175 | FRPM=1200 | RRPM=3000 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=50.5C | dEGT=2.1 | PEGT=56.7 | RPM=2224 | FRPM=1664 | RRPM=144601 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=50.5C | dEGT=0.0 | PEGT=50.5 | RPM=1758 | FRPM=1912 | RRPM=72615 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=50.5C | dEGT=-2.1 | PEGT=44.2 | RPM=1407 | FRPM=1776 | RRPM=92400 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=51.0C | dEGT=2.1 | PEGT=57.2 | RPM=1620 | FRPM=1504 | RRPM=42005 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=51.2C | dEGT=0.0 | PEGT=51.2 | RPM=945 | FRPM=1362 | RRPM=118192 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=51.5C | dEGT=2.1 | PEGT=57.7 | RPM=1009 | FRPM=1022 | RRPM=78010 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=51.7C | dEGT=0.0 | PEGT=51.7 | RPM=1669 | FRPM=1198 | RRPM=52196 | SIG=OK | RNOISE=WARN | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=52.0C | dEGT=2.1 | PEGT=58.2 | RPM=2628 | FRPM=1849 | RRPM=6601 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=52.2C | dEGT=2.1 | PEGT=58.5 | RPM=3006 | FRPM=2431 | RRPM=6600 | SIG=OK | RNOISE=NOISY | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=52.2C | dEGT=0.0 | PEGT=52.2 | RPM=3440 | FRPM=2922 | RRPM=4200 | SIG=OK | RNOISE=WARN | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=52.2C | dEGT=0.0 | PEGT=52.2 | RPM=3248 | FRPM=3138 | RRPM=3600 | SIG=OK | RNOISE=WARN | PUMP=1045us | START=1200us | IGN=0 | V1=1 | V2=0 | SD=OK | ALEARN=11/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
