RX <- WEB_DATA|EGT=378.0C | dEGT=10.4 | PEGT=409.3 | RPM=4571 | FRPM=3466 | RRPM=2023 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1326us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=381.0C | dEGT=4.7 | PEGT=395.2 | RPM=5342 | FRPM=4261 | RRPM=1505 | SIG=OK | RNOISE=CLEAN | PUMP=1104us | START=1383us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=382.8C | dEGT=2.1 | PEGT=389.0 | RPM=5696 | FRPM=4903 | RRPM=2000 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1429us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=383.5C | dEGT=2.1 | PEGT=389.8 | RPM=6092 | FRPM=5471 | RRPM=1518 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1490us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=384.0C | dEGT=0.0 | PEGT=384.0 | RPM=6871 | FRPM=5996 | RRPM=1984 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1552us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=385.0C | dEGT=2.1 | PEGT=391.3 | RPM=8412 | FRPM=6926 | RRPM=1500 | SIG=OK | RNOISE=CLEAN | PUMP=1104us | START=1615us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=385.3C | dEGT=-2.1 | PEGT=379.0 | RPM=9372 | FRPM=8113 | RRPM=2000 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1673us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=385.5C | dEGT=0.0 | PEGT=385.5 | RPM=10084 | FRPM=8941 | RRPM=1506 | SIG=OK | RNOISE=CLEAN | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=384.8C | dEGT=-2.1 | PEGT=378.5 | RPM=11029 | FRPM=9949 | RRPM=10201 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=384.0C | dEGT=-2.1 | PEGT=377.8 | RPM=11238 | FRPM=10638 | RRPM=18602 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=383.0C | dEGT=-2.1 | PEGT=376.8 | RPM=11369 | FRPM=11004 | RRPM=6001 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=381.8C | dEGT=-2.1 | PEGT=375.5 | RPM=11528 | FRPM=11271 | RRPM=10201 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=380.5C | dEGT=-2.1 | PEGT=374.3 | RPM=11589 | FRPM=11439 | RRPM=13800 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=1 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=379.8C | dEGT=-2.1 | PEGT=373.5 | RPM=11610 | FRPM=11531 | RRPM=7201 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=378.5C | dEGT=-2.1 | PEGT=372.3 | RPM=11617 | FRPM=11578 | RRPM=12601 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=377.5C | dEGT=-4.2 | PEGT=365.0 | RPM=11619 | FRPM=11600 | RRPM=15601 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=376.5C | dEGT=-4.2 | PEGT=364.0 | RPM=11620 | FRPM=11611 | RRPM=10809 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=375.5C | dEGT=-2.1 | PEGT=369.3 | RPM=11620 | FRPM=11616 | RRPM=7200 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=374.8C | dEGT=-2.1 | PEGT=368.5 | RPM=11620 | FRPM=11618 | RRPM=9001 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=374.0C | dEGT=-2.1 | PEGT=367.8 | RPM=11620 | FRPM=11619 | RRPM=10201 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=372.8C | dEGT=0.0 | PEGT=372.8 | RPM=11620 | FRPM=11620 | RRPM=15001 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=371.5C | dEGT=-2.1 | PEGT=365.3 | RPM=11620 | FRPM=11620 | RRPM=7801 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=369.8C | dEGT=-4.2 | PEGT=357.3 | RPM=11620 | FRPM=11620 | RRPM=8402 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=1 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=369.3C | dEGT=-4.2 | PEGT=356.8 | RPM=11620 | FRPM=11620 | RRPM=4800 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=367.8C | dEGT=-6.2 | PEGT=349.0 | RPM=11620 | FRPM=11620 | RRPM=5400 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=366.0C | dEGT=-2.1 | PEGT=359.8 | RPM=11620 | FRPM=11620 | RRPM=10201 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=362.8C | dEGT=-8.3 | PEGT=337.8 | RPM=11620 | FRPM=11620 | RRPM=8401 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=358.0C | dEGT=-10.4 | PEGT=326.8 | RPM=11620 | FRPM=11620 | RRPM=10202 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=353.5C | dEGT=-6.2 | PEGT=334.8 | RPM=11620 | FRPM=11620 | RRPM=3600 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=348.3C | dEGT=-12.5 | PEGT=310.8 | RPM=11620 | FRPM=11620 | RRPM=2400 | SIG=OK | RNOISE=NOISY | PUMP=1104us | START=1700us | IGN=0 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
RX <- WEB_DATA|EGT=343.5C | dEGT=-6.2 | PEGT=324.8 | RPM=11620 | FRPM=11620 | RRPM=27007 | SIG=OK | RNOISE=WARN | PUMP=1104us | START=1700us | IGN=1 | V1=0 | V2=1 | SD=OK | ALEARN=14/20 | PRAMP=1 | SRAMP=1 | OTA=OFF | WIFI=OFF | VER=7.9
